device,storage,scenario,implementation,scheduler_threads,experiment,elapsed_time(ms),operations per client,buckets,clients,keys per bucket,keys total
omen,dict,read-only,central,2,4,414.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,5,412.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,6,409.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,7,409.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,8,409.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,9,403.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,10,402.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,11,407.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,12,403.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,13,404.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,14,411.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,15,403.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,16,402.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,17,400.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,18,411.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,19,404.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,20,404.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,21,407.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,22,402.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,23,401.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,24,407.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,25,408.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,26,403.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,27,403.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,28,404.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,29,401.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,30,402.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,1,308.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,2,306.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,3,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,4,290.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,5,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,6,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,7,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,8,288.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,9,286.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,10,292.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,11,285.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,12,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,13,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,14,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,15,286.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,16,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,17,283.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,18,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,19,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,20,278.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,21,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,22,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,23,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,24,283.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,25,283.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,26,301.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,27,278.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,28,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,29,287.0,1000,1000,100,100,100000
omen,dict,read-only,central,20,30,285.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,1,295.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,2,305.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,3,293.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,4,294.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,5,293.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,6,292.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,7,299.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,8,295.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,9,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,10,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,11,273.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,12,275.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,13,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,14,292.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,15,285.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,16,295.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,17,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,18,290.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,19,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,20,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,21,283.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,22,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,23,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,24,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,25,276.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,26,293.0,1000,1000,100,100,100000
omen,dict,read-only,central,21,27,282.0,1000,1000,100,100,100000
