device,storage,scenario,implementation,scheduler_threads,elapsed_time(ms)
omen,maps,mix,work,36,44.0
omen,maps,mix,work,37,44.0
omen,maps,mix,work,38,44.0
omen,maps,mix,work,39,43.0
omen,maps,mix,work,4,43.0
omen,maps,mix,work,40,43.0
omen,maps,mix,work,41,43.0
omen,maps,mix,work,42,43.0
omen,maps,mix,work,43,43.0
omen,maps,mix,work,44,44.0
omen,maps,mix,work,45,45.0
omen,maps,mix,work,46,45.0
omen,maps,mix,work,47,44.0
omen,maps,mix,work,48,42.0
omen,maps,mix,work,49,43.0
omen,maps,mix,work,5,43.0
omen,maps,mix,work,50,47.0
omen,maps,mix,work,51,44.0
omen,maps,mix,work,52,44.0
omen,maps,mix,work,53,45.0
omen,maps,mix,work,54,43.0
omen,maps,mix,work,55,45.0
omen,maps,mix,work,56,44.0
omen,maps,mix,work,57,44.0
omen,maps,mix,work,58,43.0
omen,maps,mix,work,59,45.0
omen,maps,mix,work,6,42.0
omen,maps,mix,work,60,43.0
omen,maps,mix,work,61,45.0
omen,maps,mix,work,62,43.0
omen,maps,mix,work,63,44.0
omen,maps,mix,work,64,42.0
omen,maps,mix,work,7,43.0
omen,maps,mix,work,8,42.0
omen,maps,mix,work,9,42.0
omen,dict,r,central,1,58.0
omen,dict,r,central,10,62.0
omen,dict,r,central,11,61.0
omen,dict,r,central,12,61.0
omen,dict,r,central,13,59.0
omen,dict,r,central,14,60.0
omen,dict,r,central,15,60.0
omen,dict,r,central,16,60.0
omen,dict,r,central,17,62.0
omen,dict,r,central,18,59.0
omen,dict,r,central,19,61.0
omen,dict,r,central,2,60.0
omen,dict,r,central,20,60.0
omen,dict,r,central,21,61.0
omen,dict,r,central,22,62.0
omen,dict,r,central,23,59.0
omen,dict,r,central,24,61.0
omen,dict,r,central,25,60.0
omen,dict,r,central,26,61.0
omen,dict,r,central,27,62.0
omen,dict,r,central,28,60.0
omen,dict,r,central,29,63.0
omen,dict,r,central,3,60.0
omen,dict,r,central,30,60.0
omen,dict,r,central,31,61.0
omen,dict,r,central,32,59.0
omen,dict,r,central,33,60.0
omen,dict,r,central,34,61.0
omen,dict,r,central,35,60.0
omen,dict,r,central,36,61.0
omen,dict,r,central,37,62.0
omen,dict,r,central,38,60.0
omen,dict,r,central,39,62.0
omen,dict,r,central,4,62.0
omen,dict,r,central,40,61.0
omen,dict,r,central,41,59.0
omen,dict,r,central,42,60.0
omen,dict,r,central,43,60.0
omen,dict,r,central,44,59.0
omen,dict,r,central,45,61.0
omen,dict,r,central,46,62.0
omen,dict,r,central,47,59.0
omen,dict,r,central,48,60.0
omen,dict,r,central,49,60.0
omen,dict,r,central,5,59.0
omen,dict,r,central,50,61.0
omen,dict,r,central,51,60.0
omen,dict,r,central,52,62.0
omen,dict,r,central,53,61.0
omen,dict,r,central,54,60.0
omen,dict,r,central,55,60.0
omen,dict,r,central,56,62.0
omen,dict,r,central,57,60.0
omen,dict,r,central,58,60.0
omen,dict,r,central,59,60.0
omen,dict,r,central,6,59.0
omen,dict,r,central,60,61.0
omen,dict,r,central,61,60.0
omen,dict,r,central,62,61.0
omen,dict,r,central,63,62.0
omen,dict,r,central,64,62.0
omen,dict,r,central,7,61.0
omen,dict,r,central,8,58.0
omen,dict,r,central,9,59.0
omen,dict,r,shard,1,53.0
omen,dict,r,shard,10,54.0
omen,dict,r,shard,11,55.0
omen,dict,r,shard,12,54.0
omen,dict,r,shard,13,55.0
omen,dict,r,shard,14,53.0
omen,dict,r,shard,15,55.0
omen,dict,r,shard,16,55.0
omen,dict,r,shard,17,54.0
omen,dict,r,shard,18,53.0
omen,dict,r,shard,19,54.0
omen,dict,r,shard,2,53.0
omen,dict,r,shard,20,54.0
omen,dict,r,shard,21,55.0
omen,dict,r,shard,22,55.0
omen,dict,r,shard,23,56.0
omen,dict,r,shard,24,53.0
omen,dict,r,shard,25,55.0
omen,dict,r,shard,26,54.0
omen,dict,r,shard,27,59.0
omen,dict,r,shard,28,54.0
omen,dict,r,shard,29,55.0
omen,dict,r,shard,3,53.0
omen,dict,r,shard,30,54.0
omen,dict,r,shard,31,54.0
omen,dict,r,shard,32,64.0
omen,dict,r,shard,33,54.0
omen,dict,r,shard,34,55.0
omen,dict,r,shard,35,55.0
omen,dict,r,shard,36,54.0
omen,dict,r,shard,37,62.0
omen,dict,r,shard,38,54.0
omen,dict,r,shard,39,55.0
omen,dict,r,shard,4,54.0
omen,dict,r,shard,40,55.0
omen,dict,r,shard,41,54.0
omen,dict,r,shard,42,55.0
omen,dict,r,shard,43,54.0
omen,dict,r,shard,44,55.0
omen,dict,r,shard,45,56.0
omen,dict,r,shard,46,54.0
omen,dict,r,shard,47,55.0
omen,dict,r,shard,48,55.0
omen,dict,r,shard,49,56.0
omen,dict,r,shard,5,56.0
omen,dict,r,shard,50,55.0
omen,dict,r,shard,51,55.0
omen,dict,r,shard,52,55.0
omen,dict,r,shard,53,58.0
omen,dict,r,shard,54,55.0
omen,dict,r,shard,55,54.0
omen,dict,r,shard,56,54.0
omen,dict,r,shard,57,55.0
omen,dict,r,shard,58,55.0
omen,dict,r,shard,59,56.0
omen,dict,r,shard,6,54.0
omen,dict,r,shard,60,55.0
omen,dict,r,shard,61,55.0
omen,dict,r,shard,62,56.0
omen,dict,r,shard,63,55.0
omen,dict,r,shard,64,54.0
omen,dict,r,shard,7,53.0
omen,dict,r,shard,8,53.0
omen,dict,r,shard,9,657.0
omen,dict,r,work,1,53.0
omen,dict,r,work,10,57.0
omen,dict,r,work,11,55.0
omen,dict,r,work,12,55.0
omen,dict,r,work,13,54.0
omen,dict,r,work,14,54.0
omen,dict,r,work,15,55.0
omen,dict,r,work,16,53.0
omen,dict,r,work,17,54.0
omen,dict,r,work,18,54.0
omen,dict,r,work,19,55.0
omen,dict,r,work,2,54.0
omen,dict,r,work,20,55.0
omen,dict,r,work,21,55.0
omen,dict,r,work,22,56.0
omen,dict,r,work,23,55.0
omen,dict,r,work,24,54.0
omen,dict,r,work,25,54.0
omen,dict,r,work,26,54.0
omen,dict,r,work,27,57.0
omen,dict,r,work,28,56.0
omen,dict,r,work,29,56.0
omen,dict,r,work,3,53.0
omen,dict,r,work,30,55.0
omen,dict,r,work,31,55.0
omen,dict,r,work,32,53.0
omen,dict,r,work,33,55.0
omen,dict,r,work,34,55.0
omen,dict,r,work,35,55.0
omen,dict,r,work,36,55.0
omen,dict,r,work,37,57.0
omen,dict,r,work,38,54.0
omen,dict,r,work,39,55.0
omen,dict,r,work,4,54.0
omen,dict,r,work,40,56.0
omen,dict,r,work,41,56.0
omen,dict,r,work,42,55.0
omen,dict,r,work,43,55.0
omen,dict,r,work,44,55.0
omen,dict,r,work,45,55.0
omen,dict,r,work,46,56.0
omen,dict,r,work,47,55.0
omen,dict,r,work,48,57.0
omen,dict,r,work,49,54.0
omen,dict,r,work,5,54.0
omen,dict,r,work,50,54.0
omen,dict,r,work,51,55.0
omen,dict,r,work,52,56.0
omen,dict,r,work,53,56.0
omen,dict,r,work,54,56.0
omen,dict,r,work,55,56.0
omen,dict,r,work,56,56.0
omen,dict,r,work,57,54.0
omen,dict,r,work,58,56.0
omen,dict,r,work,59,56.0
omen,dict,r,work,6,55.0
omen,dict,r,work,60,55.0
omen,dict,r,work,61,56.0
omen,dict,r,work,62,55.0
omen,dict,r,work,63,55.0
omen,dict,r,work,64,57.0
omen,dict,r,work,7,54.0
omen,dict,r,work,8,54.0
omen,dict,r,work,9,170.0
omen,dict,rw,central,1,59.0
omen,dict,rw,central,10,58.0
omen,dict,rw,central,11,62.0
omen,dict,rw,central,12,61.0
omen,dict,rw,central,13,60.0
omen,dict,rw,central,14,61.0
omen,dict,rw,central,15,61.0
omen,dict,rw,central,16,62.0
omen,dict,rw,central,17,59.0
omen,dict,rw,central,18,61.0
omen,dict,rw,central,19,61.0
omen,dict,rw,central,2,61.0
omen,dict,rw,central,20,61.0
